name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FoldCh
C1qb,31.6288,31.17962,31.18074,31.0399,31.2049,30.70058,31.08588,30.69777,31.5237,31.4484,-0.155526
Sepp1,26.67963,25.98327,26.03574,26.21343,24.57213,25.75707,27.74567,27.90879,27.64918,26.97869,1.31104
C1qc,30.33947,30.07163,30.72363,30.34488,30.42672,30.32956,29.89472,28.13653,28.79346,29.8365,-0.983112
C4b,33.76979,33.36489,33.36071,33.3395,33.26136,33.05415,33.11272,33.71303,33.07543,33.09655,-0.208874
Fbln1,27.34562,28.56616,28.26616,28.21192,28.6024,28.14865,28.47414,27.74105,28.36265,28.64313,0.075472
Serpina6,21.4999,21.81634,22.42158,22.39552,22.29609,22.52128,23.66839,25.78858,24.3179,23.27696,1.828736
Tgm2,22.47633,22.47003,22.48015,24.30366,22.07582,24.75333,24.85595,24.00479,23.88917,25.05325,1.7501
Pglyrp2,24.91771,24.51467,24.62076,24.39963,23.90931,24.16023,24.94056,24.89555,24.04394,24.3152,-0.00132
Serpina10,26.98707,26.19865,26.55339,26.03204,25.9104,25.93546,25.87004,27.13016,25.88511,26.28351,-0.115454
Itih2,31.648,31.0932,31.37046,31.14011,31.10212,31.16117,31.22613,31.25912,30.98244,31.27858,-0.08929
Igj,31.27175,31.46202,31.51916,31.13651,31.20326,31.58159,31.3638,31.22573,31.01664,31.18033,-0.044922
Apoc1,29.05662,28.8154,28.9579,29.00019,28.88291,29.62904,29.96403,30.09131,29.59605,30.038,0.921082
Lum,25.47571,25.20713,25.1332,25.31341,25.405,25.71219,25.62229,25.60874,25.72393,25.64144,0.354828
Proz,26.60894,25.38341,24.87774,25.16073,23.51171,27.01404,25.37438,26.75545,25.27437,25.8918,0.953502
Lcat,24.63522,25.25458,20.79382,22.4175,21.77635,21.56417,26.11759,25.34739,26.07192,22.37382,1.319484
Saa2,24.4776,23.19303,23.21544,23.08107,22.91231,24.28008,22.2352,22.4375,21.74539,23.59057,-0.518142
Serpina3k,32.33711,32.29071,32.37005,32.33226,32.27039,32.98502,33.15251,33.42117,32.91044,33.18859,0.811442
Actb,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,0.401562
Postn,24.46787,22.80931,22.41333,22.65844,22.69307,21.81319,21.47823,21.96364,21.58504,22.20036,-1.200312
Itih1,31.72838,31.32432,31.65023,31.57745,31.49023,31.49929,31.53881,32.05449,31.99951,31.94514,0.253326
Azgp1,28.95662,28.09763,28.97836,27.37094,27.87496,27.52515,28.0878,28.39264,27.97323,28.00153,-0.259632
Saa1,20.31912,21.73835,21.91998,22.35049,21.30206,22.52614,21.83345,23.72306,22.20279,22.52493,1.036074
Hspa1b,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,0.774234
F5,26.78257,26.34641,26.43736,26.20738,26.37746,24.4789,20.74797,21.99133,26.14783,25.34048,-2.688934
Gapdh,23.98876,23.92705,24.28093,24.10965,23.87145,26.60244,26.58749,27.04895,26.87771,26.20741,2.629232
C8a,32.5374,32.55364,32.7222,32.47808,32.49195,32.3787,32.41198,32.14686,32.08338,32.03692,-0.345086
Afm,29.06907,28.63647,28.90693,28.95615,28.74073,29.80937,30.15255,29.85074,30.08309,29.92054,1.101388
Apoc3,28.47046,27.18433,28.04672,28.08998,28.23923,28.13487,28.16245,30.16099,29.76951,29.21452,1.082324
Thbs1,25.951,26.23374,26.32872,25.92522,26.22395,29.68083,29.72571,29.51801,29.616,30.35584,3.646752
Masp1,26.87079,26.14453,25.62547,26.61372,26.10945,26.0059,26.0486,27.0475,26.37986,26.37655,0.09889
Masp2,27.81287,27.44332,27.48616,27.63166,27.32234,27.68492,28.09924,28.57029,27.99793,28.03396,0.537998
Fgb,36.27098,35.94567,36.01095,36.00481,35.91981,35.73673,35.87009,35.8567,35.65117,35.79462,-0.248582
F10,26.50142,26.84912,26.96036,26.80218,26.48979,26.95471,27.11297,27.41683,26.72221,26.62756,0.246282
Fga,36.42384,36.30864,36.50331,36.2294,36.27872,36.22128,36.28168,36.33133,36.08763,36.16809,-0.13078
C8g,31.6032,31.10131,31.2194,31.27636,31.3687,30.67514,30.7601,30.86592,30.78371,30.71006,-0.554808
Serpina1c,20.37891,22.35022,22.2398,20.70928,21.71032,20.33702,25.26464,27.48193,27.01871,19.84713,2.51218
Orm2,23.30354,22.41887,22.85291,22.0459,22.90947,22.80792,23.76699,22.12925,23.64878,19.71789,-0.291972
Serpina1d,29.26537,28.99183,29.04984,28.40503,28.64293,31.19625,30.14637,31.06574,30.75151,30.16219,1.793412
Cfd,24.53938,25.02644,25.90773,24.85234,25.22648,25.42621,25.33334,25.7134,25.9252,25.86653,0.542462
Fgg,36.80869,37.11749,37.16339,36.81895,36.82086,36.80713,36.81633,36.65037,36.73138,36.81252,-0.18233
Apoa4,30.47344,30.52328,30.72338,30.05427,30.17462,30.68228,30.93277,31.62383,31.03184,31.01731,0.667808
F7,25.23867,26.69856,26.09122,25.73856,25.72967,25.50331,25.46201,22.16647,25.39421,25.04047,-1.186042
Vwf,31.09365,30.90038,31.04035,30.82661,30.89937,30.84408,30.94998,30.31624,30.68829,30.9901,-0.194334
C1qa,29.1046,29.88081,28.9627,29.64721,29.17362,28.29959,29.27719,29.27364,29.70198,29.05489,-0.23233
Cfi,30.64873,30.55646,30.73675,30.71457,30.63417,30.36474,30.85831,31.16477,30.60373,30.82851,0.105876
Serpina1e,30.17855,30.07099,30.65156,30.58611,30.76097,30.9899,31.22274,31.1111,31.57871,30.76145,0.683144
Serpina1a,29.30236,29.33658,28.50021,28.69952,28.25314,29.48281,29.57906,30.26863,30.02855,29.85028,1.023504
Serpina1b,32.34992,32.01432,32.13231,32.07658,32.05006,32.84648,32.67131,33.3965,32.76361,32.85242,0.781426
Fn1,36.36315,36.33842,36.45424,36.27534,36.14811,36.072,36.20044,36.31086,36.20893,36.29914,-0.097578
Apob,25.13665,24.74935,24.47265,24.69641,24.79942,24.95034,25.13453,24.34564,25.35202,25.64493,0.314596
B2m,30.30704,29.35243,27.92937,29.46546,29.58072,29.94405,30.46714,31.1505,29.69493,30.34647,0.993614
Trf,36.70032,36.57978,36.65411,36.48203,36.64219,36.56652,36.64622,36.83975,36.64876,36.61105,0.050774
C1s1,27.04009,27.04354,27.15045,27.03454,27.18414,24.77721,25.27331,23.52552,26.75047,25.4456,-1.93613
