name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_4_1_norm,r1_4_2_norm,r1_4_3_norm,r14_4_norm,FoldCh_norm
Lcat,-0.863352234,-0.731883213,-1.910068481,-1.484788155,-1.574627735,-0.792007659,-0.916867725,-0.32088474,-0.556670376,2.234526324
Saa2,-0.904096132,-1.282752149,-1.266113571,-1.305443509,-1.276510302,-1.333252708,-0.888592178,-1.281189663,-1.177141183,-0.005907223
Serpina3k,1.12754369,1.148248459,1.1682717,1.194897669,1.17939201,1.391143468,1.327664647,1.361916062,1.376375921,0.915827723
Actb,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,0.113351315,-0.563685656,0.172645934,0.246659042,-1.150144418
Postn,-0.906611283,-1.385286372,-1.479409907,-1.419668727,-1.334046893,-1.539772531,-1.255383003,-1.66171774,-1.700545117,-1.033778509
Itih1,0.970190355,0.890018374,0.976857843,0.990893371,0.974649504,0.984391662,0.996414396,1.031506519,0.964702931,0.272548143
Azgp1,0.253705741,0.027811157,0.266356689,-0.146010116,0.025870486,0.117741351,0.434178435,0.252628258,0.211573442,0.665632508
Saa1,-1.979040189,-1.671458716,-1.610601075,-1.502899107,-1.699098771,-1.03488025,-0.63987541,-0.911004819,-0.927388409,2.816510514
Hspa1b,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.51032279,-2.061475942,-0.854469913,-0.814906145,-1.545096292
F5,-0.308274148,-0.440134174,-0.409343639,-0.460488251,-0.36712826,-0.590341416,-0.373335678,-0.543464595,-0.777681147,-0.675684114
Gapdh,-1.030458565,-1.086613895,-0.982779474,-1.02744674,-1.024796901,-0.816234657,-0.419860093,-0.672813171,-0.705620989,1.283950841
C8a,1.179317546,1.218506259,1.261915097,1.234308788,1.237537454,1.072582299,1.096995004,1.034673342,1.068273256,-0.396239595
Afm,0.282773443,0.171795158,0.247362091,0.28242837,0.253080186,0.405861304,0.602092235,0.48378051,0.380327477,0.879825027
Apoc3,0.128036072,-0.216232693,0.018615857,0.048326539,0.121468252,-0.04338932,0.157089732,0.08723477,-0.148884537,0.000491621
Thbs1,-0.523230389,-0.470240843,-0.438233085,-0.536748307,-0.407414896,-0.305395377,-0.167520899,-0.365768321,-0.407027056,0.557830924
Masp1,-0.285469766,-0.494078741,-0.625240663,-0.350665771,-0.437463882,-0.573179376,-0.323657331,-0.904642735,-0.965876265,-0.956011703
Masp2,-0.041947302,-0.147027704,-0.13044773,-0.0755447,-0.119157205,-0.004800634,0.181868382,0.040916424,0.006116604,0.595059453
Fgb,2.144427305,2.124894151,2.1364564,2.187486514,2.137133236,2.085813449,1.909052841,2.008325456,1.995650477,-0.233451414
F10,-0.380949866,-0.305804508,-0.270267971,-0.299730237,-0.337648762,-0.39714167,-0.274014849,-0.276399274,-0.266271698,0.018056385
Fga,2.183940769,2.221883745,2.267384307,2.248186989,2.231324341,2.207071143,1.962642781,2.149878581,2.163402751,-0.094928113
C8g,0.937832018,0.830427638,0.862291936,0.909517059,0.942755589,0.763750103,0.801271877,0.72750699,0.817611969,-0.304170155
Serpina1c,-1.963584805,-1.507960292,-1.525554841,-1.946472847,-1.591956421,-0.547100927,-1.073932179,-1.953675585,-0.516959627,2.239637573
Orm2,-1.207584142,-1.489616254,-1.362517207,-1.585221373,-1.277255622,-1.244290407,-0.924226899,-1.168554159,-1.20447646,0.743594504
Serpina1d,0.333515906,0.266751276,0.285364583,0.133475854,0.22741389,0.476099148,0.732820126,0.704429249,0.463899889,1.344571081
Cfd,-0.888126344,-0.792844741,-0.550182349,-0.826718143,-0.669187491,-0.680375322,-0.211803714,-0.766969938,-0.596191964,0.617592138
Fgg,2.283422363,2.438017401,2.44291216,2.407526073,2.373601697,2.347135097,2.071568867,2.28175286,2.369301857,-0.119877574
Apoa4,0.645795313,0.675971636,0.730390764,0.579219881,0.629385343,0.840698431,0.860333563,0.824117075,0.857754329,0.819362731
F7,-0.70736375,-0.346035804,-0.501388861,-0.587197351,-0.537132039,-0.678845627,-1.974726008,-1.966236887,-0.740064503,-3.199804974
Vwf,0.806116164,0.776736922,0.814679128,0.787962054,0.819586239,0.745557359,0.719377249,0.735140973,0.759421934,-0.109463656
C1qa,0.291957751,0.504296554,0.262192396,0.469202804,0.366686348,0.100382986,-0.182050953,0.237567105,0.260950116,-1.002912521
Cfi,0.691106808,0.684837698,0.733946102,0.757680736,0.749988064,0.731517425,0.763059315,0.746378671,0.739325443,0.193968516
Serpina1e,0.569567881,0.555114751,0.711292457,0.722961546,0.783265019,0.856638896,0.782077053,0.650140849,0.865368775,0.542512734
Serpina1a,0.343077617,0.358872285,0.139207491,0.213068368,0.125118744,0.378743971,0.381209419,0.331930685,0.315911073,0.469650201
Serpina1b,1.130855004,1.074393997,1.105052103,1.125794426,1.121569363,1.179734618,1.199223188,1.158225985,1.167223759,0.411492941
Fn1,2.16825274,2.22984129,2.254335659,2.260603302,2.197047502,2.245692551,2.029032259,2.211961244,2.240527661,0.164184561
