name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_7_1,2_7_2,2_7_3,2_7_4,FC_7
Psmb5,-1.063117662,-1.421342081,-0.505116148,-1.059852221,-1.206993114,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.080755586
Psmb6,-0.130150846,0.016100062,-0.022657464,-0.077882345,-1.193346406,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.324679365
Qsox1,-0.117584083,-0.056013552,-0.066373811,-0.074228967,-0.177795616,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.388682395
Rbp4,0.039477126,-0.069984483,-0.037473248,0.092000978,0.153364477,0.686147934,0.696833599,0.716039287,0.7259793,0.808000637
Reln,-1.690304462,-0.296192868,-0.536573874,-0.908711553,-1.348747391,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.109744719
Saa1,-1.44827886,-1.538291231,-1.559365739,-1.143146232,-1.25868865,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.976148262
Saa2,-1.44827886,-1.538291231,-1.559365739,-1.143146232,-1.25868865,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.976148262
Saa4,-1.165635589,-1.374310551,-1.366173562,-0.989969788,-0.78033465,0.569464146,0.651175845,0.605107049,0.648689999,1.079999662
Sepp1,0.404115549,-0.825779025,-0.411990301,-0.710224711,-0.886064479,0.583787396,0.575245094,0.579227107,0.608932959,0.840743016
Serpina10,-0.719486948,-0.684975659,-0.791817339,-0.570279555,-0.081106434,0.53831232,0.525700371,0.535222735,0.496994763,0.788649754
Serpina1a,0.925343213,0.84285906,0.877534601,0.967857631,1.02126647,0.736300723,0.635015556,0.691302352,0.694096036,0.50257791
Serpina1b,1.362884944,1.198169337,1.282134326,1.345853282,1.154654101,0.906981976,0.906857262,0.89674837,0.860436425,0.630218885
Serpina1c,-0.577606473,-0.522217599,-0.620840686,-0.474593107,-0.237764915,1.132029551,1.136762917,1.120246934,1.116136859,1.463329904
Serpina1d,0.361812285,0.444292683,0.288218566,0.490504625,0.59099032,0.961995524,0.989194751,0.974262224,0.93392191,0.979831719
Serpina1e,0.358557788,0.356652314,0.316885424,0.574672541,0.64956875,0.884096964,0.929134537,0.933210029,0.938678284,0.923290812
Serpina3k,1.139514996,1.061763207,0.987332281,1.092172639,1.248123327,1.141891982,1.125779529,1.130706237,1.058175592,0.938372009
Serpina3m,-0.152473319,-0.011243607,-0.259715451,-0.005500891,0.037200753,0.884273794,0.897596646,0.900622924,0.93540248,1.074692159
