name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,r2_1_2,r2_1_3,r2_1_4,r2_1_5,r2_2_1,r2_2_2,r2_2_3,r2_2_4,r2_2_5,FC_r2_2
Lifr,0.285018643,0.311121127,0.313947047,0.341487672,0.310685945,0.198416821,0.276304986,0.174214613,0.257945737,0.306311288,-0.494812574,0.526106052,0.179074492,0.489988601,0.02725467,0.106630289,0.38170837,0.122378943,0.406650947,0.377070886,0.473812369,0.35286639
Cfb,0.677300773,0.635348393,0.633210484,0.636580663,0.652501305,0.617891916,0.629111228,0.620263636,0.649271734,0.649880027,-0.064066954,0.56917806,0.644493601,0.578227685,0.749997959,0.704254095,0.643868983,0.700916612,0.590101516,0.63038488,0.624055756,-0.026427808
Psma1,0.334870243,0.207042705,0.28351891,0.257671864,0.281649426,0.238589423,0.287694162,0.337403191,0.215374971,0.210821909,-0.093779956,0.571242148,0.355228262,0.345219885,0.179635738,0.322291109,-0.297805181,-0.299344332,-0.284979421,-0.107612428,-0.446327046,-2.530766262
C1qc,0.555915582,0.522774657,0.605633244,0.569629017,0.593301685,0.545749236,0.465590099,0.258360323,0.350793355,0.470874432,-1.079909204,0.574102175,0.655892859,0.547502937,0.53685848,-0.462776632,-0.363737957,0.009446158,-0.017878233,0.108912714,-0.159966129,-1.786569715
Pkm,0.425320527,0.312796416,0.384000685,0.313198717,0.359572427,0.242730215,0.276573053,0.342434144,0.211577376,0.229413403,-0.701832943,0.579496064,0.119858554,0.200661044,0.343543757,0.198021744,0.004644935,-0.000131052,-0.370626593,-0.027113497,0.15671714,-1.321339419
Fcn1,0.66939483,0.737388732,0.221638093,0.73956425,0.705556268,0.697889994,0.673794871,0.613056543,0.521315464,0.692932332,0.220139746,0.587149984,0.70988638,0.59837204,0.670348491,0.588649052,0.365743944,0.714688548,0.118751433,-0.235984591,0.27427483,-1.498912512
Hrg,0.605399379,0.563065795,0.553870393,0.561072551,0.603849579,0.535613436,0.515220693,0.634348844,0.547121118,0.518159277,-0.166937558,0.592228662,0.679049895,0.689057634,0.798831686,0.808811007,0.653213454,0.751419367,0.593195631,0.65001723,0.582600872,-0.247145847
Clu,0.622506574,0.568564656,0.573991248,0.57554354,0.5925055,0.574992963,0.582881894,0.669420522,0.651165603,0.622636816,0.280682536,0.611876439,0.554430167,0.641115802,0.624842131,0.64275352,0.435551639,0.701900755,0.525954291,0.474782039,0.556510134,-0.283294239
Itih2,0.716879692,0.649265798,0.685669974,0.66854396,0.677192966,0.648479671,0.629309205,0.638830279,0.620516229,0.647946099,-0.273602347,0.615902384,0.433866743,0.407923751,0.459874301,0.598660323,0.776405705,0.632870183,0.898423873,0.832436494,0.789081486,1.133831906
Apoh,0.559945435,0.52527459,0.531298311,0.454306406,0.481683056,0.564619982,0.539141406,0.593134991,0.571062476,0.521383718,0.376244416,0.61594498,0.669170375,0.556328676,0.566563481,0.563689313,0.654968635,0.711457361,0.485339669,0.613464576,0.810976748,0.259213714
Vwf,0.648688321,0.625390761,0.644823191,0.629549161,0.652009435,0.609308913,0.595351948,0.523945676,0.584271501,0.612523908,-0.368361368,0.617859373,0.769054596,0.714752699,0.643844747,0.608526239,0.543979361,0.55139966,0.554451198,0.586741422,0.642957689,-0.354585093
Adipoq,0.490218883,0.565275988,0.542927103,0.526188686,0.554655056,0.484069715,0.464972806,0.317400004,0.520169531,0.473698581,-0.586322271,0.627581031,0.77616506,0.534036761,0.185698725,0.38407149,0.376268997,0.208885318,0.396020718,-0.08702196,0.148011795,-1.141435098
F13b,0.720228062,0.661661452,0.658684197,0.656890299,0.714532908,0.573031275,0.594443224,0.688166275,0.64236164,0.649294323,-0.348888878,0.634347733,0.730192378,0.657216399,0.714513718,0.719591386,0.932030184,0.778600852,0.870547955,1.051746358,0.973723453,0.931954939
Gc,0.719528127,0.716511385,0.738925092,0.716674862,0.723710769,0.744840796,0.703059718,0.724290689,0.711864278,0.724909063,0.031821482,0.647120492,0.707667954,0.694206897,0.774416035,0.758975107,0.898127659,0.831051288,0.839592364,0.910827806,0.907841326,0.65859492
Cpn2,0.659729824,0.621552331,0.6161979,0.621108372,0.639743719,0.546448427,0.542835326,0.6109925,0.549798656,0.540202371,-0.503873154,0.658881897,0.614199181,0.530618968,0.660713191,0.840283826,0.711449505,0.738827918,0.922428236,0.842256303,0.722724763,0.52016888
Vtn,0.55912618,0.461166611,0.499895126,0.518167077,0.490552876,0.504283254,0.477816679,0.597247238,0.506784304,0.503105336,0.118151385,0.665590182,0.542109522,0.505660906,0.458502853,0.497917747,0.625513214,0.6597317,0.453769106,0.241640623,0.578722194,-0.070780442
F2,0.745468771,0.705945796,0.71821525,0.726584641,0.72519756,0.680479396,0.690779033,0.756623306,0.722902193,0.718446674,-0.03464262,0.665784908,0.728427916,0.675170487,0.709270446,0.666155547,0.736923779,0.665152968,0.714921555,0.73192124,0.741208715,0.136125209
Ces1c,0.736321644,0.699306549,0.715635336,0.678650268,0.667735634,0.741693201,0.725963497,0.764343365,0.752480798,0.754121811,0.393385908,0.68523796,0.668688269,0.648400422,0.728372495,0.778822012,0.908725141,0.879952994,0.880584874,0.760079756,0.92604582,0.690637365
C9,0.46623781,0.420596878,0.427660007,0.443630414,0.448884223,0.316935879,0.344617911,0.409632523,0.35401552,0.320328889,-0.651635307,0.697795305,0.685785931,0.678987287,0.684750511,0.839982216,0.500576645,0.62872636,0.474620384,0.728535726,0.523577502,-0.558896559
