name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,,,,,,,,,
Egfr,0.506838939,0.458136771,0.499761862,0.427993764,0.455234783,0.509414741,0.506168082,0.587916989,0.520596941,0.488907186,0.405107651,0.41980568,,,,,,,,,
Serpinc1,0.548463712,0.510081158,0.514020418,0.470387786,0.482855042,0.503788935,0.498765792,0.600228058,0.506303325,0.508929058,0.16081297,0.423106093,,,,,,,,,
Hp,0.695266257,0.493374823,0.533721783,0.602122909,0.636038095,-0.75449689,-0.557735155,-0.44303041,-0.219586593,-0.692840688,-7.995533388,0.43025071,,,,,,,,,
Apoa2,-0.063246894,0.094758061,0.030200136,0.026911044,0.114119909,0.527178504,0.412725564,0.268432079,0.317691013,0.340954604,2.375628723,0.436985914,,,,,,,,,
Serpina1e,0.542549685,0.52889841,0.605068059,0.608169318,0.644267528,0.636589244,0.638219467,0.629560541,0.705160874,0.592358998,0.423201749,0.44407904,,,,,,,,,
Serpina1d,0.426955276,0.391336927,0.401046139,0.328828049,0.373442961,0.662829866,0.501974548,0.623875038,0.600248019,0.516631235,1.424762128,0.445655151,,,,,,,,,
Gpld1,0.526915237,0.564860497,0.572022704,0.538973094,0.535218585,0.597863504,0.617825196,0.597949344,0.628411641,0.60002832,0.464993721,0.452360215,,,,,,,,,
Itih4,0.796074334,0.743461232,0.761786069,0.731583425,0.767321596,0.681258705,0.65978332,0.754368362,0.692415839,0.696791432,-0.406554005,0.454807896,,,,,,,,,
Sepp1,0.09964074,0.007833113,0.017119815,0.048139433,-0.147072539,-0.028846731,0.198098394,0.228177314,0.206782956,0.114336184,0.989619727,0.466142078,,,,,,,,,
Klkb1,0.540873707,0.514348883,0.535289791,0.510227998,0.500244771,0.517443977,0.512136242,0.6254932,0.519955186,0.528113104,0.176411891,0.472312143,,,,,,,,,
Gpx3,0.442075791,0.438930732,0.441350696,0.399292213,0.490886284,0.217216165,0.129637338,0.303806036,0.360304251,0.357286506,-1.178677107,0.487249403,,,,,,,,,
F13a1,0.779879116,0.782281216,0.819710655,0.779625544,0.8050458,0.747421696,0.729874702,0.778574366,0.723261893,0.74193542,-0.304417702,0.488429916,,,,,,,,,
Mbl2,0.453317758,0.416356913,0.433686436,0.406171108,0.488103927,0.364742251,0.357581795,0.473701801,0.431309404,0.404550962,-0.21041824,0.490665356,,,,,,,,,
C8g,0.722888255,0.660234215,0.677397685,0.696572912,0.721975321,0.5965626,0.579659354,0.598829244,0.604331909,0.585864906,-0.693540942,0.508442126,,,,,,,,,
Mbl1,0.649695847,0.669260428,0.683839128,0.685643013,0.684789432,0.625342719,0.597789141,0.565776617,0.601910745,0.639576698,-0.45091693,0.509760785,,,,,,,,,
Cfi,0.602067173,0.590781702,0.615919286,0.6246218,0.628054163,0.557090397,0.592090593,0.636287634,0.581505246,0.600833289,-0.097545275,0.52014051,,,,,,,,,
Lifr,0.284154066,0.311086355,0.313981569,0.34236555,0.310594435,0.195067732,0.275276887,0.170161619,0.256342612,0.306113464,-0.494812574,0.531686934,,,,,,,,,
Cfb,0.687830685,0.644872698,0.642636564,0.64621136,0.662470482,0.626881422,0.638444776,0.62901405,0.659134671,0.6596984,-0.064066954,0.576133255,,,,,,,,,
Psma1,0.335453689,0.203939426,0.282658347,0.256063662,0.280703281,0.236421986,0.287000555,0.338034368,0.2125245,0.207840245,-0.093779956,0.578263202,,,,,,,,,
C1qc,0.562919658,0.528979991,0.614248103,0.577273847,0.601528433,0.552616711,0.470121158,0.25672265,0.351910715,0.475474183,-1.079909204,0.581214485,,,,,,,,,
Pkm,0.428531252,0.312811036,0.386095927,0.31323751,0.360919798,0.240684577,0.275552827,0.34320973,0.208615633,0.226973744,-0.701832943,0.586780479,,,,,,,,,
Fcn1,0.679695101,0.749921457,0.218957224,0.752249566,0.717087017,0.709232594,0.684440743,0.621600084,0.527429213,0.704005826,0.220139746,0.594678615,,,,,,,,,
Hrg,0.613840795,0.570459018,0.560962579,0.568463585,0.612386785,0.542182773,0.521209363,0.64350356,0.553990987,0.524137542,-0.166937558,0.59991934,,,,,,,,,
Clu,0.631444897,0.57612,0.581675315,0.583363801,0.600708815,0.582720624,0.590857722,0.679581937,0.661084031,0.631660956,0.280682536,0.620194026,,,,,,,,,
Itih2,0.728559239,0.659200426,0.69663922,0.679122728,0.687888895,0.658368897,0.638648567,0.64811363,0.629536614,0.657708092,-0.273602347,0.624348428,,,,,,,,,
Apoh,0.567066566,0.531553629,0.537726508,0.458530626,0.486624522,0.572042528,0.54583261,0.601106704,0.57863384,0.527455986,0.376244416,0.624392383,,,,,,,,,
Vwf,0.658387137,0.634621489,0.654590874,0.638971295,0.661964134,0.618045956,0.603694012,0.529931376,0.592229896,0.621253223,-0.368361368,0.626367859,,,,,,,,,
Adipoq,0.495314689,0.572734374,0.549697377,0.532545022,0.561744314,0.489122926,0.469485736,0.317457008,0.526249704,0.478380666,-0.586322271,0.636399709,,,,,,,,,
F13b,0.732004869,0.671961537,0.66885962,0.667123405,0.726327868,0.580701234,0.602758599,0.698865769,0.652022107,0.659095621,-0.348888878,0.643382319,,,,,,,,,
Gc,0.731284603,0.72842859,0.751460908,0.728681251,0.735775861,0.757564425,0.714565075,0.7360271,0.723561209,0.736914787,0.031821482,0.656562624,,,,,,,,,
Cpn2,0.669749359,0.630669892,0.625123532,0.630280142,0.649337401,0.553336468,0.549635018,0.619476795,0.556746978,0.546823267,-0.503873154,0.668699304,,,,,,,,,
Vtn,0.566223513,0.465555577,0.505399558,0.524285482,0.495755408,0.509931034,0.482706823,0.605336989,0.512472282,0.508644728,0.118151385,0.675621632,,,,,,,,,
F2,0.757978737,0.717551499,0.730141858,0.738884966,0.737306413,0.691309874,0.701923716,0.769287794,0.734922541,0.730263998,-0.03464262,0.675822571,,,,,,,,,
Ces1c,0.748565915,0.71071651,0.727486052,0.689528801,0.678153205,0.754324245,0.738141521,0.777229449,0.765367816,0.766979187,0.393385908,0.695896318,,,,,,,,,
